scientificName,japaneseName,order,family
Sinosturio sinensis,Karachozame,Acipenseriformes,Acipenseridae
Sinosturio medirostris,Chozame,Acipenseriformes,Acipenseridae
Sinosturio schrenckii,Amuruchozame,Acipenseriformes,Acipenseridae
Sinosturio dauricus,Dauriachozame,Acipenseriformes,Acipenseridae
Lethrinus harak,Matofuefuki,Acanthuriformes,Lethrinidae
Lethrinus longirostris,Tachigamifuefuki,Acanthuriformes,Lethrinidae
Albula koreana,Kisujisotoiwashi,Albuliformes,Albulidae
Lethrinus microdon,Ofuefuki,Acanthuriformes,Lethrinidae
Albula argentea,Sotoiwashi,Albuliformes,Albulidae
Lethrinus miniatus,Amamifuefuki,Acanthuriformes,Lethrinidae
Lethrinus atkinsoni,Isofuefuki,Acanthuriformes,Lethrinidae
Pterothrissus gissu,Gisu,Albuliformes,Albulidae
Pempheris oualensis,Yumehatampo,Acropomatiformes,Pempheridae
Lethrinus nebulosus,Hamafuefuki,Acanthuriformes,Lethrinidae
Albula glossodonta,Marukuchisotoiwashi,Albuliformes,Albulidae
Albula oligolepis,Aramesotoiwashi,Albuliformes,Albulidae
Lethrinus ornatus,Hanafuefuki,Acanthuriformes,Lethrinidae
Parapriacanthus ransonneti,Kimmemodoki,Acropomatiformes,Pempheridae
Gymnocranius microdon,Nagameichi,Acanthuriformes,Lethrinidae
Pempheris ufuagari,Daitohatampo,Acropomatiformes,Pempheridae
Gymnocranius euanus,Shirodai,Acanthuriformes,Lethrinidae
Pempheris schwenkii,Minamihatampo,Acropomatiformes,Pempheridae
Lethrinus olivaceus,Kitsunefuefuki,Acanthuriformes,Lethrinidae
Gymnocranius satoi,Tamameichi,Acanthuriformes,Lethrinidae
Pempheris familia,Boninhatampo,Acropomatiformes,Pempheridae
Maulisia acuticeps,Ochibahanameiwashi,Alepocephaliformes,Platytroctidae
Lethrinus rubrioperculatus,Hoakakuchibi,Acanthuriformes,Lethrinidae
Pempheris adusta,Ryukyuhatampo,Acropomatiformes,Pempheridae
Holtbyrnia innesi,Kitanohanameiwashi,Alepocephaliformes,Platytroctidae
Lethrinus lentjan,Shimofurifuefuki,Acanthuriformes,Lethrinidae
Pempheris japonica,Tsumagurohatampo,Acropomatiformes,Pempheridae
Sagamichthys abei,Hanameiwashi,Alepocephaliformes,Platytroctidae
Gymnocranius griseus,Meichidai,Acanthuriformes,Lethrinidae
Pempheris vanicolensis,Kibirehatampo,Acropomatiformes,Pempheridae
Maulisia argipalla,Kuzuboshihanameiwashi,Alepocephaliformes,Platytroctidae
Lethrinus variegatus,Hosofuefuki,Acanthuriformes,Lethrinidae
Pempheris xanthoptera,Mizuhohatampo,Acropomatiformes,Pempheridae
Mentodus facilis,Nettaihanameiwashi,Alepocephaliformes,Platytroctidae
Wattsia mossambica,Kokenokogiri,Acanthuriformes,Lethrinidae
Pempheris sasakii,Miehatampo,Acropomatiformes,Pempheridae
Lethrinus genivittatus,Itofuefuki,Acanthuriformes,Lethrinidae
Monotaxis heterodon,Kagutsuchiyokoshimakurodai,Acanthuriformes,Lethrinidae
Alepocephalus australis,Aramekon-nyakuiwashi,Alepocephaliformes,Alepocephalidae
Gymnocranius superciliosus,Hikimayumeichi,Acanthuriformes,Lethrinidae
Rouleina squamilatera,Sekitoriiwashi,Alepocephaliformes,Alepocephalidae
Gymnocranius grandoculis,Sazanamidai,Acanthuriformes,Lethrinidae
Rouleina attrita,Hososekitoriiwashi,Alepocephaliformes,Alepocephalidae
Champsodon sagittus,Yajiriwanigisu,Acropomatiformes,Champsodontidae
Lethrinus erythracanthus,Amakuchibi,Acanthuriformes,Lethrinidae
Talismania brachycephala,Itoiwashi,Alepocephaliformes,Alepocephalidae
Lethrinus ravus,Minsafuefuki,Acanthuriformes,Lethrinidae
Bajacalifornia megalops,Ukeguchiiwashi,Alepocephaliformes,Alepocephalidae
Champsodon snyderi,Wanigisu,Acropomatiformes,Champsodontidae
Lethrinus xanthochilus,Muneakakuchibi,Acanthuriformes,Lethrinidae
Alepocephalus umbriceps,Kon-nyakuiwashi,Alepocephaliformes,Alepocephalidae
Gymnocranius obesus,Tsukinowameichidai,Acanthuriformes,Lethrinidae
Champsodon guentheri,Kurowanigisu,Acropomatiformes,Champsodontidae
Alepocephalus longirostris,Marukon-nyakuiwashi,Alepocephaliformes,Alepocephalidae
Monotaxis grandoculis,Yokoshimakurodai,Acanthuriformes,Lethrinidae
Alepocephalus bicolor,Hosomekon-nyakuiwashi,Alepocephaliformes,Alepocephalidae
Champsodon longipinnis,Minamiwanigisu,Acropomatiformes,Champsodontidae
Gnathodentex aureolineatus,Nokogiridai,Acanthuriformes,Lethrinidae
Alepocephalus owstoni,Hageiwashi,Alepocephaliformes,Alepocephalidae
Lethrinus reticulatus,Yaeyamafuefuki,Acanthuriformes,Lethrinidae
Champsodon pantolepis,Yoroiwanigisu,Acropomatiformes,Champsodontidae
Lethrinus semicinctus,Amifuefuki,Acanthuriformes,Lethrinidae
Photostylus pycnopterus,Ukeguchitsubuiwashi,Alepocephaliformes,Alepocephalidae
Rouleina guentheri,Tanakasekitoriiwashi,Alepocephaliformes,Alepocephalidae
Lethrinus haematopterus,Fuefukidai,Acanthuriformes,Lethrinidae
Lethrinus obsoletus,Tateshimafuefuki,Acanthuriformes,Lethrinidae
Bathyprion danae,Sokonokogiriiwashi,Alepocephaliformes,Alepocephalidae
Lethrinus amboinensis,Yokoshimafuefuki,Acanthuriformes,Lethrinidae
Narcetes kamoharai,Kuromasukuiwashi,Alepocephaliformes,Alepocephalidae
Gymnocranius elongatus,Onagameichidai,Acanthuriformes,Lethrinidae
Narcetes stomias,Sokokuroguchiiwashi,Alepocephaliformes,Alepocephalidae
Lateolabrax japonicus,Suzuki,Acropomatiformes,Lateolabracidae
Alepocephalus triangularis,Okinawakon-nyakuiwashi,Alepocephaliformes,Alepocephalidae
Conocara kreffti,Yajiriiwashi,Alepocephaliformes,Alepocephalidae
Lateolabrax latus,Hirasuzuki,Acropomatiformes,Lateolabracidae
Chaetodon wiebeli,Tsukichochouo,Acanthuriformes,Chaetodontidae
Leptoderma lubricum,Nameraiwashi,Alepocephaliformes,Alepocephalidae
Chaetodon argentatus,Kagamichochouo,Acanthuriformes,Chaetodontidae
Leptoderma retropinnum,Yasenameraiwashi,Alepocephaliformes,Alepocephalidae
Chaetodon rafflesii,Amichochouo,Acanthuriformes,Chaetodontidae
Histiopterus typus,Kawabisha,Acropomatiformes,Pentacerotidae
Narcetes lloydi,Kuroguchiiwashi,Alepocephaliformes,Alepocephalidae
Conocara fiolenti,Marukuchiyajiriiwashi,Alepocephaliformes,Alepocephalidae
Heniochus varius,Tsunohatatatedai,Acanthuriformes,Chaetodontidae
Evistias acutirostris,Tengudai,Acropomatiformes,Pentacerotidae
Forcipiger longirostris,Ofueyakkodai,Acanthuriformes,Chaetodontidae
Leptochilichthys microlepis,Oniiwashi,Alepocephaliformes,Alepocephalidae
Pentaceros japonicus,Tsubodai,Acropomatiformes,Pentacerotidae
Chaetodon mertensii,Beniochochouo,Acanthuriformes,Chaetodontidae
Talismania longifilis,Mizuhikiiwashi,Alepocephaliformes,Alepocephalidae
Pentaceros wheeleri,Kusakaritsubodai,Acropomatiformes,Pentacerotidae
Narcetes shonanmaruae,Yokozunaiwashi,Alepocephaliformes,Alepocephalidae
Prognathodes guyotensis,Urashimachochouo,Acanthuriformes,Chaetodontidae
Xenodermichthys nodulosus,Tsubuiwashi,Alepocephaliformes,Alepocephalidae
Chaetodon quadrimaculatus,Shitenchochouo,Acanthuriformes,Chaetodontidae
Alepocephalus longiceps,Togarikon-nyakuiwashi,Alepocephaliformes,Alepocephalidae
Talismania antillarum,Nokobaiwashi,Alepocephaliformes,Alepocephalidae
Chaetodon oxycephalus,Himefuraichochouo,Acanthuriformes,Chaetodontidae
Conocara werneri,Sedakayajiriiwashi,Alepocephaliformes,Alepocephalidae
Howella zina,Togekushisumikuiuo,Acropomatiformes,Howellidae
Chaetodon plebeius,Sumitsukitonosamadai,Acanthuriformes,Chaetodontidae
Howella parini,Kushisumikuiuo,Acropomatiformes,Howellidae
Chaetodon kleinii,Mizorechochouo,Acanthuriformes,Chaetodontidae
Howella sherborni,Namitogesumikuiuo,Acropomatiformes,Howellidae
Chaetodon reticulatus,Hakutenkatagi,Acanthuriformes,Chaetodontidae
Macropodus ocellatus,Chosembuna,Anabantiformes,Osphronemidae
Howella simplex,Togesumikuiuo,Acropomatiformes,Howellidae
Roa modesta,Genrokudai,Acanthuriformes,Chaetodontidae
Macropodus opercularis,Taiwankingyo,Anabantiformes,Osphronemidae
Chaetodon lunula,Chohan,Acanthuriformes,Chaetodontidae
Chaetodon guentheri,Kokutenkatagi,Acanthuriformes,Chaetodontidae
Bathyclupea nikparini,,Acropomatiformes,Bathyclupeidae
Chaetodon speculum,Tonosamadai,Acanthuriformes,Chaetodontidae
Neobathyclupea japanotaiwana,Sokonishin,Acropomatiformes,Bathyclupeidae
Channa maculata,Taiwandojo,Anabantiformes,Channidae
Chaetodon octofasciatus,Yasujichochouo,Acanthuriformes,Chaetodontidae
Channa asiatica,Kotai,Anabantiformes,Channidae
Heniochus singularius,Shimahatatatedai,Acanthuriformes,Chaetodontidae
Channa argus,Kamuruchi,Anabantiformes,Channidae
Myopsaron nelsoni,Nezusunagimpo,Acropomatiformes,Creediidae
Chaetodon adiergastos,Kurakakechochouo,Acanthuriformes,Chaetodontidae
Chaetodon bennetti,Umizukichochouo,Acanthuriformes,Chaetodontidae
Chaetodon baronessa,Mikadochochouo,Acanthuriformes,Chaetodontidae
Limnichthys orientalis,Sangotobigimpo,Acropomatiformes,Creediidae
Chaetodon daedalma,Yuzen,Acanthuriformes,Chaetodontidae
Chaetodon lineolatus,Nisefuraichochouo,Acanthuriformes,Chaetodontidae
Chaetodon trifascialis,Yarikatagi,Acanthuriformes,Chaetodontidae
Heniochus monoceros,Onihatatatedai,Acanthuriformes,Chaetodontidae
Heniochus acuminatus,Hatatatedai,Acanthuriformes,Chaetodontidae
Chaetodon ornatissimus,Hanagurochochouo,Acanthuriformes,Chaetodontidae
Limnichthys fasciatus,Tobigimpo,Acropomatiformes,Creediidae
Chelmon rostratus,Hashinagachochouo,Acanthuriformes,Chaetodontidae
Limnichthys nitidus,Minamitobigimpo,Acropomatiformes,Creediidae
Heniochus diphreutes,Murehatatatedai,Acanthuriformes,Chaetodontidae
Creedia bilineata,Futasujisunagimpo,Acropomatiformes,Creediidae
Hemitaurichthys polylepis,Kasumichochouo,Acanthuriformes,Chaetodontidae
Chaetodon auriga,Togechochouo,Acanthuriformes,Chaetodontidae
Chaetodon selene,Tenguchochouo,Acanthuriformes,Chaetodontidae
Parascombrops philippinensis,Himesumikuiuo,Acropomatiformes,Synagropidae
Chaetodon melannotus,Akebonochochouo,Acanthuriformes,Chaetodontidae
Parascombrops serratospinosus,Tsumarihimesumikuiuo,Acropomatiformes,Synagropidae
Coradion altivelis,Takigenrokudai,Acanthuriformes,Chaetodontidae
Parascombrops mochizukii,Nokobasumikuiuo,Acropomatiformes,Synagropidae
Chaetodon vagabundus,Furaichochouo,Acanthuriformes,Chaetodontidae
Heniochus chrysostomus,Minamihatatatedai,Acanthuriformes,Chaetodontidae
Synagrops japonicus,Sumikuiuo,Acropomatiformes,Synagropidae
Chaetodon citrinellus,Gomachochouo,Acanthuriformes,Chaetodontidae
Parascombrops analis,Bakesumikuiuo,Acropomatiformes,Synagropidae
Chaetodon ulietensis,Sudarechochouo,Acanthuriformes,Chaetodontidae
Parascombrops nakayamai,Oribuhimesumikuiuo,Acropomatiformes,Synagropidae
Chaetodon xanthurus,Amimechochouo,Acanthuriformes,Chaetodontidae
Parascombrops yamanouei,Sedakahimesumikuiuo,Acropomatiformes,Synagropidae
Chaetodon semeion,Remonchochouo,Acanthuriformes,Chaetodontidae
Parascombrops ohei,Sarashihimesumikuiuo,Acropomatiformes,Synagropidae
Chaetodon nippon,Shirakodai,Acanthuriformes,Chaetodontidae
Chaetodon punctatofasciatus,Shichisenchochouo,Acanthuriformes,Chaetodontidae
Chaetodon meyeri,Ogichochouo,Acanthuriformes,Chaetodontidae
Eurypharynx pelecanoides,Fukuronagi,Anguilliformes,Eurypharyngidae
Chaetodon auripes,Chochouo,Acanthuriformes,Chaetodontidae
Chaetodon lunulatus,Misujichochouo,Acanthuriformes,Chaetodontidae
Symphysanodon katayamai,Kawarihanadai,Acropomatiformes,Symphysanodontidae
Chaetodon unimaculatus,Ittenchochouo,Acanthuriformes,Chaetodontidae
Coradion chrysozonus,Kisujigenrokudai,Acanthuriformes,Chaetodontidae
Anguilla luzonensis,Ugumaunagi,Anguilliformes,Anguillidae
Forcipiger flavissimus,Fueyakkodai,Acanthuriformes,Chaetodontidae
Symphysanodon typus,Tsukihihanadai,Acropomatiformes,Symphysanodontidae
Hemitaurichthys thompsoni,Tompusonchochouo,Acanthuriformes,Chaetodontidae
Anguilla japonica,Nihon-unagi,Anguilliformes,Anguillidae
Symphysanodon maunaloae,Paraohanadai,Acropomatiformes,Symphysanodontidae
Roa haraguchiae,Pandagenrokudai,Acanthuriformes,Chaetodontidae
Chaetodon ephippium,Segurochochouo,Acanthuriformes,Chaetodontidae
Chaetodon oligacanthus,Tentsukichochouo,Acanthuriformes,Chaetodontidae
Anguilla marmorata,Ounagi,Anguilliformes,Anguillidae
Acanthopagrus taiwanensis,Iwatsukikurodai,Acanthuriformes,Sparidae
Doederleinia berycoides,Akamutsu,Acropomatiformes,Acropomatidae
Pagrus major,Madai,Acanthuriformes,Sparidae
Acropoma hanedai,Hanedahotarujako,Acropomatiformes,Acropomatidae
Dentex hypselosomus,Kidai,Acanthuriformes,Sparidae
Acropoma japonicum,Hotarujako,Acropomatiformes,Acropomatidae
Amamiichthys matsubarai,Hoshirenko,Acanthuriformes,Sparidae
Acropoma lecorneti,Okinawahotarujako,Acropomatiformes,Acropomatidae
Evynnis cardinalis,Hirekodai,Acanthuriformes,Sparidae
Nessorhamphus danae,Heraanago,Anguilliformes,Derichthyidae
Argyrops bleekeri,Taiwandai,Acanthuriformes,Sparidae
Derichthys serpentinus,Kubinagaanago,Anguilliformes,Derichthyidae
Lagodon rhomboides,Pinfisshu,Acanthuriformes,Sparidae
Acanthopagrus pacificus,Nan-yochinu,Acanthuriformes,Sparidae
Rhabdosargus sarba,Hedai,Acanthuriformes,Sparidae
Muraenesox bagio,Suzuhamo,Anguilliformes,Muraenesocidae
Acanthopagrus schlegelii,Kurodai,Acanthuriformes,Sparidae
Gavialiceps taiwanensis,Watakuzuhamo,Anguilliformes,Muraenesocidae
Acanthopagrus chinshira,Okinawakichinu,Acanthuriformes,Sparidae
Muraenesox cinereus,Hamo,Anguilliformes,Muraenesocidae
Acanthopagrus sivicolus,Minamikurodai,Acanthuriformes,Sparidae
Acanthopagrus latus,Kichinu,Acanthuriformes,Sparidae
Oxyconger leptognathus,Hashinagaanago,Anguilliformes,Muraenesocidae
Evynnis tumifrons,Chidai,Acanthuriformes,Sparidae
Dentex abei,Kibireakarenko,Acanthuriformes,Sparidae
Coloconger japonicus,Bakefusaanago,Anguilliformes,Colocongridae
Ostracoberyx fowleri,Onigashira,Acropomatiformes,Ostracoberycidae
Coloconger raniceps,Fusaanago,Anguilliformes,Colocongridae
Lutjanus stellatus,Fuedai,Acanthuriformes,Lutjanidae
Ostracoberyx dorygenys,Mameonigashira,Acropomatiformes,Ostracoberycidae
Caesio caerulaurea,Sasamuro,Acanthuriformes,Lutjanidae
Lutjanus kasmira,Yosujifuedai,Acanthuriformes,Lutjanidae
Kaupichthys atronasus,Kurohigeiwaanago,Anguilliformes,Chlopsidae
Scombrops gilberti,Kuromutsu,Acropomatiformes,Scombropidae
Lutjanus bohar,Barafuedai,Acanthuriformes,Lutjanidae
Kaupichthys japonicus,Iwaanago,Anguilliformes,Chlopsidae
Scombrops boops,Mutsu,Acropomatiformes,Scombropidae
Lutjanus sebae,Sennendai,Acanthuriformes,Lutjanidae
Robinsia catherinae,Kawarianago,Anguilliformes,Chlopsidae
Pinjalo lewisi,Sedakatakasago,Acanthuriformes,Lutjanidae
Bathylychnops exilis,Mukashidemenigisu,Argentiniformes,Opisthoproctidae
Etelis radiosus,Okuchihamadai,Acanthuriformes,Lutjanidae
Winteria telescopa,Kurodemenigisu,Argentiniformes,Opisthoproctidae
Chilorhinus platyrhynchus,Hashihiroanago,Anguilliformes,Chlopsidae
Symphorus nematophorus,Itohikifuedai,Acanthuriformes,Lutjanidae
Xenoconger fryeri,Umbukianago,Anguilliformes,Chlopsidae
Dolichopteryx parini,Kitahinademenigisu,Argentiniformes,Opisthoproctidae
Lutjanus ophuysenii,Yokosujifuedai,Acanthuriformes,Lutjanidae
Rhynchohyalus natalensis,Yotsumenigisu,Argentiniformes,Opisthoproctidae
Pinjalo pinjalo,Chikametakasago,Acanthuriformes,Lutjanidae
Dolichopteryx andriashevi,Issenhinademenigisu,Argentiniformes,Opisthoproctidae
Pristipomoides flavipinnis,Kimmehimedai,Acanthuriformes,Lutjanidae
Heteroconger fugax,Nigemizuchin-anago,Anguilliformes,Congridae
Pristipomoides amoenus,Usuhanafuedai,Acanthuriformes,Lutjanidae
Duolentops minuscula,Hinademenigisu,Argentiniformes,Opisthoproctidae
Gorgasia preclara,Nishikianago,Anguilliformes,Congridae
Lutjanus rivulatus,Namifuedai,Acanthuriformes,Lutjanidae
Macropinna microstoma,Demenigisu,Argentiniformes,Opisthoproctidae
Malakichthys barbatus,Higeomehata,Acropomatiformes,Malakichthyidae
Pterocaesio digramma,Takasago,Acanthuriformes,Lutjanidae
Conger myriaster,Maanago,Anguilliformes,Congridae
Etelis boweni,Oakamutsu,Acanthuriformes,Lutjanidae
Malakichthys elegans,Nagaomehata,Acropomatiformes,Malakichthyidae
Ariosoma major,Oshiroanago,Anguilliformes,Congridae
Pterocaesio pisang,,Acanthuriformes,Lutjanidae
Verilus pacificus,Bakemutsu,Acropomatiformes,Malakichthyidae
Lutjanus xanthopinnis,Imotofuedai,Acanthuriformes,Lutjanidae
Ariosoma shiroanago,Shiroanago,Anguilliformes,Congridae
Malakichthys wakiyae,Wakiyahata,Acropomatiformes,Malakichthyidae
Lutjanus biguttatus,Futahoshifuedai,Acanthuriformes,Lutjanidae
Glossanodon microcephalus,Tsumarinigisu,Argentiniformes,Argentinidae
Heteroconger hassi,Chin-anago,Anguilliformes,Congridae
Lutjanus bengalensis,Bengarufuedai,Acanthuriformes,Lutjanidae
Malakichthys griseus,Omehata,Acropomatiformes,Malakichthyidae
Glossanodon kotakamaru,Kotakanigisu,Argentiniformes,Argentinidae
Gymnocaesio gymnoptera,Hosotakasago,Acanthuriformes,Lutjanidae
Gorgasia taiwanensis,Akianago,Anguilliformes,Congridae
Glossanodon lineatus,Ichimonjiiwashi,Argentiniformes,Argentinidae
Pristipomoides argyrogrammicus,Hanafuedai,Acanthuriformes,Lutjanidae
Congriscus maldivensis,Nan-yookianago,Anguilliformes,Congridae
Argentina kagoshimae,Kagoshimanigisu,Argentiniformes,Argentinidae
Symphorichthys spilurus,Irezumifuedai,Acanthuriformes,Lutjanidae
Glossanodon semifasciatus,Nigisu,Argentiniformes,Argentinidae
Conger erebennus,Dainan-anago,Anguilliformes,Congridae
Pristipomoides zonatus,Shimachibiki,Acanthuriformes,Lutjanidae
Pteropsaron springeri,,Acropomatiformes,Hemerocoetidae
Aphareus furca,Ishifuedai,Acanthuriformes,Lutjanidae
Blachea xenobranchialis,Kazarieraanago,Anguilliformes,Congridae
Acanthaphritis barbata,Higetoragisu,Acropomatiformes,Hemerocoetidae
Aphareus rutilans,Oguchiishichibiki,Acanthuriformes,Lutjanidae
Heteroconger polyzona,Zeburaanago,Anguilliformes,Congridae
Bathylagus pacificus,Yasesokoiwashi,Argentiniformes,Bathylagidae
Acanthaphritis unoorum,Futahoshihigetoragisu,Acropomatiformes,Hemerocoetidae
Lutjanus timorensis,Wakiguroakafuedai,Acanthuriformes,Lutjanidae
Leuroglossus schmidti,Togariichimonjiiwashi,Argentiniformes,Bathylagidae
Congriscus megastomus,Okianago,Anguilliformes,Congridae
Pteropsaron evolans,Hokaketoragisu,Acropomatiformes,Hemerocoetidae
Aprion virescens,Aochibiki,Acanthuriformes,Lutjanidae
Gnathophis ginanago,Nisegin-anago,Anguilliformes,Congridae
Paracaesio sordida,Yogoreaodai,Acanthuriformes,Lutjanidae
Dolicholagus longirostris,Ginsokoiwashi,Argentiniformes,Bathylagidae
Matsubaraea fusiformis,Matsubaratoragisu,Acropomatiformes,Hemerocoetidae
Ariosoma meeki,Goten-anago,Anguilliformes,Congridae
Paracaesio caerulea,Aodai,Acanthuriformes,Lutjanidae
Lipolagus ochotensis,Sokoiwashi,Argentiniformes,Bathylagidae
Gnathophis heterognathos,Gin-anago,Anguilliformes,Congridae
Osopsaron formosense,Usagitoragisu,Acropomatiformes,Hemerocoetidae
Paracaesio stonei,Yambarushimaaodai,Acanthuriformes,Lutjanidae
Pseudobathylagus milleri,Kurosokoiwashi,Argentiniformes,Bathylagidae
Bathyuroconger parvibranchialis,Kibaanago,Anguilliformes,Congridae
Osopsaron verecundum,Himetoragisu,Acropomatiformes,Hemerocoetidae
Lutjanus gibbus,Himefuedai,Acanthuriformes,Lutjanidae
Melanolagus bericoides,Nettaisokoiwashi,Argentiniformes,Bathylagidae
Macolor macularis,Hohosujitarumi,Acanthuriformes,Lutjanidae
Bathycongrus wallacei,Nisetsumaguroanago,Anguilliformes,Congridae
Lutjanus malabaricus,Yokofuedai,Acanthuriformes,Lutjanidae
Epigonus glossodontus,Horaanahisuiyasemutsu,Acropomatiformes,Epigonidae
Parabathymyrus macrophthalmus,Medamaanago,Anguilliformes,Congridae
Lipocheilus carnolabrum,Kibirefuedai,Acanthuriformes,Lutjanidae
Nansenia ardesiaca,Ginzakeiwashi,Argentiniformes,Microstomatidae
Epigonus fragilis,Ibushigin-yasemutsu,Acropomatiformes,Epigonidae
Lutjanus monostigma,Ittenfuedai,Acanthuriformes,Lutjanidae
Rhynchoconger ectenurus,Kitsuneanago,Anguilliformes,Congridae
Nansenia candida,Kurosakeiwashi,Argentiniformes,Microstomatidae
Lutjanus fulvus,Okifuedai,Acanthuriformes,Lutjanidae
Epigonus ctenolepis,Nagayasemutsu,Acropomatiformes,Epigonidae
Japonoconger sivicolus,Minamianago,Anguilliformes,Congridae
Lutjanus lutjanus,Kinsenfuedai,Acanthuriformes,Lutjanidae
Conger cinereus,Kirianago,Anguilliformes,Congridae
Brephostoma carpenteri,Urokoyasemutsu,Acropomatiformes,Epigonidae
Etelis carbunculus,Hachijoakamutsu,Acanthuriformes,Lutjanidae
Gorgasia japonica,Shinjuanago,Anguilliformes,Congridae
Pterocaesio chrysozona,,Acanthuriformes,Lutjanidae
Epigonus denticulatus,Hageyasemutsu,Acropomatiformes,Epigonidae
Pterocaesio tile,Kumasasahanamuro,Acanthuriformes,Lutjanidae
Bathycongrus castlei,Heritsumaguroanago,Anguilliformes,Congridae
Epigonus elongatus,Kogemeyasemutsu,Acropomatiformes,Epigonidae
Lutjanus johnii,Kadogawafuedai,Acanthuriformes,Lutjanidae
Ateleopus japonicus,Shachiburi,Ateleopodiformes,Ateleopodidae
Sphyraenops bairdianus,Togemeokimutsu,Acropomatiformes,Epigonidae
Conger jordani,Kuroanago,Anguilliformes,Congridae
Caesio cuning,Yumeumeiro,Acanthuriformes,Lutjanidae
Guentherus katoi,Hyomonshachiburi,Ateleopodiformes,Ateleopodidae
Epigonus atherinoides,Hirayasemutsu,Acropomatiformes,Epigonidae
Lutjanus ehrenbergii,Minamifuedai,Acanthuriformes,Lutjanidae
Ateleopus edentatus,Shiroguchishachiburi,Ateleopodiformes,Ateleopodidae
Bathyuroconger vicinus,Sokoaianago,Anguilliformes,Congridae
Pristipomoides filamentosus,Ohime,Acanthuriformes,Lutjanidae
Epigonus pectinifer,Yasemutsu,Acropomatiformes,Epigonidae
Ijimaia dofleini,Oshachiburi,Ateleopodiformes,Ateleopodidae
Lutjanus decussatus,Amimefuedai,Acanthuriformes,Lutjanidae
Bathycongrus retrotinctus,Tsumaguroanago,Anguilliformes,Congridae
Paracaesio kusakarii,Shimaaodai,Acanthuriformes,Lutjanidae
Uroconger lepturus,Aianago,Anguilliformes,Congridae
Glaucosoma buergeri,Aobadai,Acropomatiformes,Glaucosomatidae
Etelis coruscans,Hamadai,Acanthuriformes,Lutjanidae
Ariosoma anago,Hanaanago,Anguilliformes,Congridae
Pristipomoides sieboldii,Himedai,Acanthuriformes,Lutjanidae
Iso flosmaris,Naminohana,Atheriniformes,Notocheiridae
Acromycter nezumi,Himoanago,Anguilliformes,Congridae
Paracaesio xanthura,Umeiro,Acanthuriformes,Lutjanidae
Stereolepis doederleini,Okuchiishinagi,Acropomatiformes,Stereolepididae
Dipterygonotus balteatus,Himetakasago,Acanthuriformes,Lutjanidae
Gnathophis xenica,Himegin-anago,Anguilliformes,Congridae
Atherion elymus,Mugiiwashi,Atheriniformes,Atherionidae
Stereolepis gigas,Kokuchiishinagi,Acropomatiformes,Stereolepididae
Caesio lunaris,Hanatakasago,Acanthuriformes,Lutjanidae
Lutjanus vitta,Tatefuedai,Acanthuriformes,Lutjanidae
Lutjanus goldiei,Urauchifuedai,Acanthuriformes,Lutjanidae
Pterocaesio marri,Nisetakasago,Acanthuriformes,Lutjanidae
Cyema atrum,Yabaneunagi,Anguilliformes,Cyematidae
Lutjanus russellii,Kurohoshifuedai,Acanthuriformes,Lutjanidae
Odontesthes bonariensis,Peherei,Atheriniformes,Atherinopsidae
Lutjanus dodecacanthoides,Hasujimatarumi,Acanthuriformes,Lutjanidae
Macolor niger,Madaratarumi,Acanthuriformes,Lutjanidae
Pristipomoides typus,Barahimedai,Acanthuriformes,Lutjanidae
Pristipomoides multidens,Nagasakifuedai,Acanthuriformes,Lutjanidae
Hypoatherina lunata,Okinawatogoro,Atheriniformes,Atherinidae
Lutjanus quinquelineatus,Rokusenfuedai,Acanthuriformes,Lutjanidae
Hypoatherina temminckii,Minamigin-isoiwashi,Atheriniformes,Atherinidae
Caesio teres,Umeiromodoki,Acanthuriformes,Lutjanidae
Atherinomorus lacunosus,Yakushimaiwashi,Atheriniformes,Atherinidae
Lutjanus rufolineatus,Kyusenfuedai,Acanthuriformes,Lutjanidae
Synaphobranchus brevidorsalis,Motosodeanago,Anguilliformes,Synaphobranchidae
Lutjanus argentimaculatus,Gomafuedai,Acanthuriformes,Lutjanidae
Hypoatherina tsurugae,Gin-isoiwashi,Atheriniformes,Atherinidae
Dysommina orientalis,Surugaanago,Anguilliformes,Synaphobranchidae
Pristipomoides auricilla,Kimadarahimedai,Acanthuriformes,Lutjanidae
Doboatherina bleekeri,Togoroiwashi,Atheriniformes,Atherinidae
Randallichthys filamentosus,Bakeakamutsu,Acanthuriformes,Lutjanidae
Atherinomorus pinguis,Hosobiyakushimaiwashi,Atheriniformes,Atherinidae
Meadia abyssalis,Hirejiroanago,Anguilliformes,Synaphobranchidae
Lutjanus fulviflamma,Nisekurohoshifuedai,Acanthuriformes,Lutjanidae
Simenchelys parasitica,Kongoanago,Anguilliformes,Synaphobranchidae
Pterocaesio trilineata,Issentakasago,Acanthuriformes,Lutjanidae
Hypoatherina barnesi,Osujiisoiwashi,Atheriniformes,Atherinidae
Ilyophis brunneus,Ryukyuhoraanago,Anguilliformes,Synaphobranchidae
Hypoatherina panatela,Togariisoiwashi,Atheriniformes,Atherinidae
Doboatherina yoshinoi,Nettaiisoiwashi,Atheriniformes,Atherinidae
Nemipterus japonicus,Nihon-itoyori,Acanthuriformes,Nemipteridae
Histiobranchus bathybius,Sokoanago,Anguilliformes,Synaphobranchidae
Doboatherina woodwardi,Ryukyuisoiwashi,Atheriniformes,Atherinidae
