scientificName,japaneseName,order,family
Cryptocentrus melanopus,Oiranhaze,Gobiiformes,Gobiidae
Trimma yanagitai,Onibenihaze,Gobiiformes,Gobiidae
Sirembo imberbis,Umidojo,Ophidiiformes,Ophidiidae
Psilogobius prolatus,Haramakihaze,Gobiiformes,Gobiidae
Mastigopterus imperator,Hagoromoashiro,Ophidiiformes,Ophidiidae
Obliquogobius fluvostriatus,,Gobiiformes,Gobiidae
Bassozetus glutinosus,Nan-yofukumenitachiuo,Ophidiiformes,Ophidiidae
Eviota amamiko,Amamikoisohaze,Gobiiformes,Gobiidae
Bassozetus levistomatus,Sokofukumenitachiuo,Ophidiiformes,Ophidiidae
Parkraemeria saltator,Gimpohaze,Gobiiformes,Gobiidae
Porogadus guentheri,Taraitachiuo,Ophidiiformes,Ophidiidae
Amblyeleotris morishitai,Morishitadatehaze,Gobiiformes,Gobiidae
Bassozetus galatheae,Garateafukumenitachiuo,Ophidiiformes,Ophidiidae
Bathygobius cotticeps,Kusabihaze,Gobiiformes,Gobiidae
Bassogigas gillii,Oitachiuo,Ophidiiformes,Ophidiidae
Neobythites sivicola,Shioitachiuo,Ophidiiformes,Ophidiidae
Platygobiopsis tansei,Betahaze,Gobiiformes,Gobiidae
Hoplobrotula badia,Kuroyoroiitachiuo,Ophidiiformes,Ophidiidae
Glyptophidium oceanium,Niseshirochoman,Ophidiiformes,Ophidiidae
Valenciennea yanoi,Kiitohaze,Gobiiformes,Gobiidae
Benthocometes australiensis,Murotosuiseiashiro,Ophidiiformes,Ophidiidae
Trimma albicaudatum,Izubenihaze,Gobiiformes,Gobiidae
Pycnocraspedum armatum,,Ophidiiformes,Ophidiidae
Gobiopsis namnas,Bakeisagohaze,Gobiiformes,Gobiidae
Dicrolene tristis,Toyomomoitachiuo,Ophidiiformes,Ophidiidae
Nemateleotris magnifica,Hatatatehaze,Gobiiformes,Gobiidae
Lamprogrammus brunswigi,Ukikon-nyakuitachiuo,Ophidiiformes,Ophidiidae
Parioglossus dotui,Satsukihaze,Gobiiformes,Gobiidae
Monomitopus pallidus,Yaebakumaitachiuo,Ophidiiformes,Ophidiidae
Fusigobius gracilis,Sesujisankakuhaze,Gobiiformes,Gobiidae
Neobythites unimaculatus,Sumitsukiitachiuo,Ophidiiformes,Ophidiidae
Bathygobius hongkongensis,Kurohoshiyahazuhaze,Gobiiformes,Gobiidae
Neobythites stigmosus,Shimaitachiuo,Ophidiiformes,Ophidiidae
Eviota distigma,Kobitoisohaze,Gobiiformes,Gobiidae
Spectrunculus radcliffei,,Ophidiiformes,Ophidiidae
Bryaninops yongei,Garasuhaze,Gobiiformes,Gobiidae
Hoplobrotula armata,Yoroiitachiuo,Ophidiiformes,Ophidiidae
Istigobius goldmanni,Himekazarihaze,Gobiiformes,Gobiidae
Neobythites japonicus,Nitenitachiuo,Ophidiiformes,Ophidiidae
Parioglossus taeniatus,Komachihaze,Gobiiformes,Gobiidae
Luciobrotula bartschi,Kuromidojo,Ophidiiformes,Ophidiidae
Bathyonus caudalis,Ozawaashiro,Ophidiiformes,Ophidiidae
Eviota queenslandica,Hoshihireisohaze,Gobiiformes,Gobiidae
Ophidion muraenolepis,Minamiashiro,Ophidiiformes,Ophidiidae
